image_id,label
001.png,2
002.png,2
003.png,1
004.png,2
005.png,2
006.png,0
007.png,0
008.png,2
009.png,2
010.png,1
011.png,2
012.png,2
013.png,2
014.png,1
015.png,2
016.png,2
017.png,0
018.png,0
019.png,1
020.png,2
021.png,2
022.png,2
023.png,0
024.png,2
025.png,1
026.png,2
027.png,2
028.png,2
029.png,2
030.png,2
031.png,2
032.png,0
033.png,0
034.png,2
035.png,2
036.png,1
037.png,1
038.png,0
039.png,0
040.png,2
041.png,2
042.png,1
043.png,0
044.png,2
045.png,0
046.png,2
047.png,2
048.png,1
049.png,1
050.png,1
051.png,1
052.png,1
053.png,0
054.png,2
055.png,2
056.png,1
057.png,0
058.png,0
059.png,2
060.png,2
061.png,2
062.png,2
063.png,1
064.png,1
065.png,0
066.png,2
067.png,2
068.png,2
069.png,0
070.png,2
071.png,2
072.png,2
073.png,2
074.png,1
075.png,2
076.png,2
077.png,1
078.png,2
079.png,2
080.png,2
081.png,2
082.png,2
083.png,1
084.png,2
085.png,1
087.png,2
088.png,0
089.png,2
090.png,2
091.png,0
092.png,2
093.png,2
094.png,2
095.png,1
096.png,0
097.png,2
098.png,2
099.png,1
100.png,2
101.png,0
102.png,2
103.png,1
104.png,1
105.png,0
106.png,2
107.png,2
108.png,1
109.png,2
110.png,0
111.png,2
112.png,2
113.png,2
114.png,1
115.png,0
116.png,1
117.png,2
118.png,2
119.png,0
121.png,1
122.png,2
123.png,1
124.png,1
125.png,2
126.png,2
127.png,2
128.png,2
129.png,2
130.png,2
131.png,1
132.png,2
133.png,1
134.png,2
135.png,2
136.png,2
137.png,2
138.png,2
139.png,1
140.png,2
141.png,1
142.png,2
143.png,2
144.png,2
145.png,1
146.png,1
147.png,1
148.png,2
149.png,2
150.png,2
151.png,0
152.png,2
153.png,2
154.png,2
155.png,2
156.png,2
157.png,0
158.png,2
159.png,2
160.png,2
162.png,2
163.png,2
164.png,2
165.png,2
166.png,1
167.png,2
168.png,1
169.png,0
170.png,2
171.png,2
172.png,2
173.png,2
174.png,2
175.png,2
176.png,2
177.png,2
178.png,2
179.png,2
180.png,1
181.png,1
182.png,2
183.png,2
184.png,1
185.png,0
186.png,1
187.png,2
188.png,0
189.png,1
190.png,2
191.png,2
192.png,2
193.png,2
194.png,2
195.png,2
197.png,1
198.png,2
199.png,2
200.png,2
201.png,2
202.png,2
203.png,1
204.png,0
205.png,2
206.png,2
207.png,2
208.png,1
209.png,2
210.png,2
211.png,1
212.png,2
213.png,1
214.png,1
215.png,2
216.png,2
217.png,2
218.png,2
219.png,2
220.png,2
221.png,1
222.png,2
223.png,1
224.png,2
225.png,2
226.png,2
227.png,2
228.png,2
229.png,1
230.png,2
231.png,2
232.png,0
233.png,0
234.png,2
235.png,1
236.png,2
237.png,2
238.png,2
239.png,1
240.png,2
241.png,1
242.png,2
243.png,1
244.png,2
245.png,2
246.png,2
247.png,0
248.png,0
249.png,0
250.png,1
251.png,2
252.png,0
253.png,1
254.png,2
255.png,1
256.png,2
257.png,2
258.png,2
259.png,2
260.png,2
261.png,1
262.png,2
263.png,2
264.png,2
265.png,2
266.png,2
267.png,2
269.png,1
270.png,1
271.png,2
272.png,2
273.png,2
274.png,0
275.png,2
276.png,0
277.png,1
278.png,2
279.png,2
280.png,2
281.png,2
282.png,2
283.png,0
284.png,2
286.png,2
287.png,2
288.png,2
290.png,2
291.png,2
292.png,2
293.png,2
294.png,2
296.png,2
297.png,2
299.png,2
301.png,0
302.png,2
303.png,1
304.png,2
305.png,2
306.png,2
307.png,2
308.png,2
309.png,2
310.png,2
311.png,2
312.png,2
313.png,2
314.png,2
315.png,1
316.png,0
317.png,1
318.png,2
319.png,2
322.png,1
323.png,1
324.png,2
325.png,0
327.png,2
328.png,2
329.png,2
330.png,2
331.png,2
332.png,2
400.png,2
401.png,2
403.png,2
405.png,2
407.png,2
